Ins,Del,Sub,Stem,Syn,Phrase,Shft,WdSh,NumEr,NumWd,TERp
1,7,3,0,2,0,1,1,15.479,19,81.469
11,2,4,1,0,0,1,1,12.489,45,27.754
7,1,4,1,0,1,1,3,10.027,24,41.78
3,1,1,0,0,2,0,0,6.473,12,53.942
0,0,1,0,0,0,0,0,1.557,4,38.914
9,5,7,1,1,0,1,1,20.922,40,52.306
5,5,4,0,0,1,0,0,14.818,22,67.356
0,1,0,0,1,0,0,0,1.427,6,23.782
8,3,8,0,1,1,0,0,19.235,32,60.109
3,2,3,1,1,0,0,0,8.3,17,48.824
4,0,0,0,0,1,1,1,1.936,15,12.906
2,1,3,0,1,1,0,0,7.063,22,32.104
3,7,3,0,2,0,2,2,16.559,19,87.152
1,2,4,0,1,2,0,0,10.676,20,53.382
1,1,0,0,0,0,0,0,1.686,10,16.858
