human,bert_f1_deberta_xlarge_mnli,bert_p_deberta_xlarge_mnli,bert_r_deberta_xlarge_mnli,bert_f1_roberta_large_mnli,bert_r_roberta_large_mnli,bert_p_roberta_large_mnli,bert_f1_bart_mnli,bert_r_bart_mnli,bert_p_bart_mnli
-1.0664505986054,0.1548048,0.11660536,0.18830934,0.14116767,0.2210098,0.06104293,0.55758333,0.5753196,0.54090786
0.11029487468915,0.6779579,0.7123991,0.6423118,0.61062765,0.6006979,0.6193218,0.8001484,0.79679424,0.803531
0.913649896685484,0.8510975,0.8679446,0.8333555,0.83243877,0.813479,0.8509769,0.8966079,0.8846491,0.90889436
-0.799160972238874,0.6440674,0.61846745,0.66750646,0.6149482,0.5886568,0.64022803,0.80170494,0.80264306,0.8007691
0.643143152522208,0.82114756,0.7963475,0.84514135,0.7843275,0.7978225,0.7701972,0.8736674,0.8801042,0.8673242
0.286747773513712,0.65587586,0.6622554,0.64678663,0.6650923,0.6139244,0.71610653,0.7268574,0.7074657,0.7473422
0.132180936855453,0.72818553,0.7517854,0.7030454,0.78814733,0.77613705,0.7995166,0.8876585,0.873773,0.9019923
-1.03120330564073,0.39757562,0.45717722,0.3379301,0.34630215,0.30579153,0.3852868,0.6814032,0.662629,0.70127237
0.181651147090079,0.4035341,0.3565174,0.44864067,0.52343124,0.51089966,0.53446347,0.76213795,0.7762692,0.748512
-0.143483646126129,0.5990677,0.5558496,0.64125216,0.45396286,0.5233561,0.38457435,0.7490942,0.75895154,0.73948956
-0.389397636929617,0.52510095,0.49210694,0.55553865,0.54670036,0.56360847,0.52842814,0.7342497,0.73826206,0.73028076
0.460151798231812,0.7879972,0.7675567,0.8071555,0.67933106,0.6993679,0.65839803,0.87586904,0.87873816,0.8730186
0.649956654762874,0.88957256,0.8840404,0.89424175,0.842916,0.8171054,0.8684457,0.91637504,0.91265965,0.92012084
0.0663855365701542,0.7391906,0.74609137,0.73025227,0.6247206,0.6110744,0.63720775,0.8142898,0.8106154,0.81799763
0.889936407669383,0.8046325,0.8038692,0.80381954,0.87396,0.8636004,0.8839466,0.9249798,0.9269073,0.9230603
0.0577068223205979,0.5843108,0.6095038,0.55660015,0.53470063,0.47018883,0.5992257,0.79236114,0.771644,0.8142214
0.214582180679222,0.70190686,0.6574117,0.7462383,0.6712765,0.70439327,0.6374869,0.79045707,0.8160028,0.7664623
-0.567881505303362,0.37254658,0.42907023,0.31541154,0.31857434,0.17832378,0.46440488,0.6923662,0.6603466,0.7276491
0.589837469611688,0.6292722,0.56481004,0.6958132,0.7790972,0.7793651,0.7781102,0.85788924,0.8776218,0.8390244
-0.145837838768453,0.5538593,0.49005017,0.61922926,0.56104195,0.6334071,0.48913583,0.7943829,0.8270761,0.7641761
-0.724948580884325,0.5260392,0.52759904,0.5206691,0.4480746,0.48132583,0.41345158,0.7231195,0.72541076,0.72084266
1.00253365262871,0.92678934,0.9265033,0.9264847,0.9016483,0.90149164,0.9014848,0.94576263,0.94576263,0.94576263
-0.874216207629937,0.37785947,0.34335104,0.40884686,0.33056596,0.28015393,0.37974566,0.65979356,0.6709658,0.6489873
0.288170337389486,0.6327906,0.6342875,0.62834054,0.5746044,0.56301,0.58485854,0.7906717,0.77010983,0.8123616
0.393350618566442,0.5943177,0.55545074,0.63167167,0.5832579,0.6393253,0.5269732,0.7689247,0.8073735,0.7339715
-0.837367116158554,0.25942788,0.2619383,0.25098482,0.41458744,0.42912355,0.398234,0.62900716,0.61588925,0.642696
-0.0165822915461217,0.60597795,0.60621876,0.60256165,0.48634428,0.47063875,0.5004618,0.73741347,0.7254514,0.7497765
0.430652308359105,0.5061003,0.5187569,0.4897205,0.48260465,0.45163667,0.51223,0.71991783,0.7058376,0.7345713
-0.76431989277286,0.016319046,-0.13148846,0.20841026,0.27479672,0.4855288,0.07763411,0.5655397,0.6344055,0.510161
0.536733216549059,0.7920908,0.84089303,0.7441103,0.7269514,0.6611738,0.79338866,0.8532392,0.8210983,0.8879987
0.813088391967191,0.83472353,0.8239834,0.8442411,0.8532457,0.8809817,0.82529753,0.89449763,0.8984164,0.89061296
-0.160550927818615,0.6783454,0.7128421,0.64265084,0.66309935,0.6241781,0.70146024,0.817134,0.7925405,0.8433028
